Height Rank,Prom. Rank,Name,Region,County,Height (m),Prom. (m),Height (ft),Prom. (ft),Topo Map,OS Grid Reference,Classification(§ DoBIH codes)
1,1,Ben NevisHighest in Scotland,Scotland,Highland,1345,1345.0,4411,4411,41,NN166712,"Ma,M,Sim,CoH,CoU,CoA,SIB"
2,9,Ben Macdui,Scotland,Aberdeenshire/Moray,1309,950.0,4295,3117,36 43,NN988989,"Ma,M,Sim,CoH,CoU,CoA"
3,11,Ben Lawers,Scotland,Perth and Kinross,1214,915.0,3983,3002,51,NN635414,"Ma,M,Sim,CoH,CoU,CoA"
4,2,Carn Eige,Scotland,Highland,1183,1147.0,3881,3763,25,NH123261,"Ma,M,Sim,CoH"
5,6,Ben More (Crianlarich),Scotland,Stirling,1174,986.0,3852,3235,51,NN432244,"Ma,M,Sim,CoU,CoA"
6,73,Lochnagar,Scotland,Aberdeenshire,1156,671.0,3793,2201,44,NO243861,"Ma,M,Sim"
7,24,Sgurr na Lapaich,Scotland,Highland,1151,840.0,3776,2756,25,NH161351,"Ma,M,Sim"
8,22,Bidean nam Bian,Scotland,Highland,1149,844.0,3771,2769,41,NN143542,"Ma,M,Sim,CoH"
9,40,Ben Alder,Scotland,Highland,1148,783.0,3766,2569,42,NN496718,"Ma,M,Sim"
10,15,Ben Lui,Scotland,Stirling,1130,875.0,3707,2871,50,NN266262,"Ma,M,Sim"
11,46,Binnein Mor,Scotland,Highland,1130,759.0,3707,2490,41,NN212663,"Ma,M,Sim"
12,18,Creag Meagaidh,Scotland,Highland,1128,867.0,3701,2844,34 42,NN418875,"Ma,M,Sim"
13,14,Ben Cruachan,Scotland,Argyll and Bute,1127,880.0,3698,2887,50,NN069304,"Ma,M,Sim,CoU,CoA"
14,80,Beinn a' Ghlo,Scotland,Perth and Kinross,1122,658.0,3681,2159,43,NN971733,"Ma,M,Sim"
15,38,A' Chraileag,Scotland,Highland,1120,786.0,3675,2579,33,NH094147,"Ma,M,Sim"
16,110,Stob Coire Easain,Scotland,Highland,1115,611.0,3658,2005,41,NN308730,"Ma,M,Sim"
17,12,Sgùrr Mòr (Fannichs),Scotland,Highland,1108,913.0,3635,2995,20,NH203718,"Ma,M,Sim"
18,36,Meall a' Bhuiridh,Scotland,Highland,1108,795.0,3635,2608,41,NN250503,"Ma,M,Sim"
19,3,SnowdonHighest in Wales,Wales,Gwynedd,1085,1039.0,3560,3409,115,SH609543,"Ma,F,Sim,Hew,N,CoH,CoU,CoA"
20,34,Beinn Dearg (Ullapool),Scotland,Highland,1084,805.0,3556,2641,20,NH259811,"Ma,M,Sim"
21,32,Sgurr a' Choire Ghlais,Scotland,Highland,1083,818.0,3553,2684,25,NH258430,"Ma,M,Sim"
22,53,Schiehallion,Scotland,Perth and Kinross,1083,716.0,3553,2349,42 51 52,NN713547,"Ma,M,Sim"
23,85,Beinn a' Chreachain,Scotland,Perth and Kinross,1081,650.0,3545,2133,50,NN373440,"Ma,M,Sim"
24,76,Sgurr Fhuaran,Scotland,Highland,1069,665.0,3506,2182,33,NG978166,"Ma,M,Sim"
25,49,Carnedd Llewelyn,Wales,Conwy/Gwynedd,1064,750.0,3491,2461,115,SH683643,"Ma,F,Sim,Hew,N,CoU"
26,47,An Teallach,Scotland,Highland,1063,757.0,3486,2484,19,NH068843,"Ma,M,Sim"
27,8,Liathach,Scotland,Highland,1055,957.0,3461,3140,25,NG929579,"Ma,M,Sim"
28,64,Ben Wyvis,Scotland,Highland,1046,691.0,3432,2267,20,NH462683,"Ma,M,Sim"
29,89,Chno Dearg,Scotland,Highland,1046,644.0,3432,2113,41,NN377741,"Ma,M,Sim"
30,25,Sgurr na Ciche,Scotland,Highland,1040,839.0,3412,2753,33 40,NM902966,"Ma,M,Sim"
31,4,CarrauntoohilHighest in Ireland,Ireland,Kerry,1039,1038.6,3407,3407,78,V803844,"Ma,F,Sim,Hew,Dil,A,VL,CoH,CoU"
32,45,Gleouraich,Scotland,Highland,1035,765.0,3396,2510,33,NH039053,"Ma,M,Sim"
33,88,Beinn Fhada,Scotland,Highland,1032,647.0,3386,2123,33,NH018192,"Ma,M,Sim"
34,58,Sgurr a' Mhaoraich,Scotland,Highland,1027,708.0,3369,2323,33,NG983065,"Ma,M,Sim"
35,50,Beinn a' Bheithir,Scotland,Highland,1024,729.0,3360,2392,41,NN056558,"Ma,M,Sim"
36,37,Ladhar Bheinn,Scotland,Highland,1020,795.0,3346,2608,33,NG824039,"Ma,M,Sim"
37,55,Beinn Ime,Scotland,Argyll and Bute,1011,712.0,3317,2336,56,NN254084,"Ma,M,Sim"
38,96,Beinn Eighe,Scotland,Highland,1010,632.0,3314,2073,19,NG951611,"Ma,M,Sim"
39,92,Glyder Fawr,Wales,Conwy/Gwynedd,1001,642.0,3284,2106,115,SH642579,"Ma,F,Sim,Hew,N"
40,26,Ben More Assynt,Scotland,Highland,998,835.0,3274,2740,15,NC318201,"Ma,M,Sim,CoH"
41,5,Sgurr Alasdair,Scotland,Highland,992,992.0,3255,3255,32,NG450207,"Ma,M,Sim,SIB"
42,23,Gulvain,Scotland,Highland,987,842.0,3238,2762,41,NN002875,"Ma,M,Sim"
43‡,118,Beinn Alligin,Scotland,Highland,986,601.0,3235,1972,19 24,NG865612,"Ma,M,Sim"
44,27,Ben Vorlich,Scotland,Perth and Kinross,985,834.0,3232,2736,57,NN629189,"Ma,M,Sim"
